NaYbO2,5.746958777308464e-06,0.0,2.0836014300584793e-06,1.375330612063408e-06,1.6228295862674713e-06,1.6724225133657455e-06,1.6312114894390106e-06,1.6652047634124756e-06,1.6952399164438248e-06,1.6845297068357468e-06,1.6533304005861282e-06,1.6316771507263184e-06,1.5508849173784256e-06,2.38209031522274e-06,3.1294766813516617e-06,0.0037722273264080286,0.022969137877225876,0.05751483142375946,0.10835396498441696,0.2152690887451172,0.07550764083862305,0.17509493231773376,0.12648360431194305,0.08505872637033463,0.08073754608631134,0.11521609127521515,0.06665751338005066,0.07775615900754929,0.08491148054599762,0.0852343887090683,0.07792160660028458,0.07150822132825851,0.06873935461044312,0.05362824723124504,0.05846002697944641,0.011965886689722538,0.0,0.00047153374180197716,0.0,0.005252356640994549,0.014799884520471096,0.0006443241145461798,0.004122829996049404,0.0,3.578909672796726e-05,0.00012979190796613693,0.0,1.5790574252605438e-06,1.1972151696681976e-06,1.596519723534584e-06,1.416308805346489e-06,1.5425030142068863e-06,1.5511177480220795e-06,1.4617107808589935e-06,1.8221326172351837e-06,1.7290003597736359e-06,3.858236595988274e-06,2.7329660952091217e-06,1.8656719475984573e-06,6.32135197520256e-07,2.407236024737358e-06,1.0491348803043365e-06,1.8374994397163391e-06,4.0279701352119446e-07
NaLuO2,8.510192856192589e-06,9.634532034397125e-07,2.9436778277158737e-06,1.895008608698845e-06,1.28219835460186e-06,1.600245013833046e-06,1.6510020941495895e-06,1.594889909029007e-06,1.318054273724556e-06,1.3140961527824402e-06,1.7655547708272934e-06,4.0838494896888733e-07,1.680804416537285e-05,2.7747126296162605e-05,0.0,0.0017148053739219904,0.0066673411056399345,0.026184367015957832,0.05767175555229187,0.07825088500976562,0.08635769784450531,0.08191470801830292,0.05583907663822174,0.053097717463970184,0.028415152803063393,0.041385430842638016,0.04591700807213783,0.047684065997600555,0.04536411911249161,0.04132886230945587,0.041539885103702545,0.058228664100170135,0.0783761590719223,0.07633285969495773,0.08000443875789642,0.048036716878414154,0.03526394069194794,0.03292059898376465,0.020689653232693672,0.01734674721956253,0.031977422535419464,0.03578203544020653,0.042086608707904816,0.012448221445083618,0.00038173142820596695,3.2135285437107086e-05,5.970476195216179e-06,2.5371555238962173e-06,1.0450370609760284e-05,2.0135194063186646e-06,4.805624485015869e-07,1.416308805346489e-06,1.737847924232483e-06,1.3594981282949448e-06,1.2048985809087753e-06,1.2468080967664719e-06,1.1939555406570435e-06,1.3115350157022476e-06,1.3834796845912933e-06,1.2994278222322464e-06,9.189825505018234e-07,3.2852403819561005e-07,5.962792783975601e-07,1.973239704966545e-06
NaTmO2,7.090391591191292e-06,6.55418261885643e-07,2.2940803319215775e-06,1.8847640603780746e-06,1.4530960470438004e-06,1.4577526599168777e-06,1.3976823538541794e-06,1.4316756278276443e-06,1.3585668057203293e-06,1.5532132238149643e-06,1.5774276107549667e-06,1.5061814337968826e-06,2.2903550416231155e-06,7.902039214968681e-06,8.86828638613224e-06,0.0013817066792398691,0.006822176277637482,0.026947911828756332,0.05560090020298958,0.08941937983036041,0.09009756147861481,0.0966816172003746,0.06869927048683167,0.06352479755878448,0.035320501774549484,0.04411710053682327,0.06126733124256134,0.05286668241024017,0.05467003583908081,0.06616856157779694,0.07602334022521973,0.07292903959751129,0.07881586998701096,0.08986735343933105,0.08340783417224884,0.060556963086128235,0.04109092801809311,0.0370652861893177,0.026654547080397606,0.022717926651239395,0.02086448296904564,0.02652892656624317,0.03026439994573593,0.005259266123175621,2.489355392754078e-05,8.888309821486473e-06,5.759298801422119e-06,1.7154961824417114e-06,1.2156087905168533e-06,2.3134052753448486e-06,2.168351784348488e-06,2.100365236401558e-06,1.3248063623905182e-06,1.3236422091722488e-06,1.368112862110138e-06,1.3771932572126389e-06,1.4684628695249557e-06,1.2754462659358978e-06,1.5494879335165024e-06,1.4763791114091873e-06,2.8221402317285538e-06,0.0,4.80329617857933e-07,2.4654436856508255e-06
NaErO2,6.177229806780815e-06,3.851717337965965e-06,2.887798473238945e-06,9.818468242883682e-07,1.4968682080507278e-06,1.5578698366880417e-06,1.4435499906539917e-06,1.4801044017076492e-06,1.3934914022684097e-06,1.4225952327251434e-06,1.4728866517543793e-06,1.4521647244691849e-06,2.776738256216049e-06,3.98675911128521e-06,1.3215700164437294e-05,0.0016887837555259466,0.007975045591592789,0.03392564505338669,0.059997715055942535,0.07953130453824997,0.08055301010608673,0.0812927633523941,0.060095980763435364,0.06369992345571518,0.0415099635720253,0.0567745640873909,0.07006479799747467,0.06319855153560638,0.058537933975458145,0.05634939298033714,0.06895164400339127,0.07369033992290497,0.07292217016220093,0.07620403170585632,0.07175438106060028,0.04286342114210129,0.02997501939535141,0.024583306163549423,0.018535710871219635,0.017634950578212738,0.0183328315615654,0.029178842902183533,0.02852609194815159,0.007162018679082394,0.0002527546603232622,0.0003106151707470417,3.918539732694626e-06,1.8156133592128754e-06,1.8968712538480759e-06,1.9869767129421234e-06,1.2954697012901306e-06,1.3990793377161026e-06,1.3790559023618698e-06,1.3702083379030228e-06,1.3478565961122513e-06,1.3441313058137894e-06,1.5276018530130386e-06,1.3185199350118637e-06,1.5352852642536163e-06,1.2747477740049362e-06,1.1774245649576187e-06,2.4330802261829376e-07,7.040798664093018e-07,2.043088898062706e-06
NaHoO2,8.85198824107647e-06,4.625646397471428e-06,2.5744084268808365e-06,7.504131644964218e-07,1.4023389667272568e-06,1.6333069652318954e-06,1.5364494174718857e-06,1.580454409122467e-06,1.41817145049572e-06,1.5085097402334213e-06,1.569977030158043e-06,1.5422701835632324e-06,2.4943146854639053e-06,4.837522283196449e-06,1.792795956134796e-08,0.0016413473058491945,0.0070929331704974174,0.033551350235939026,0.05682865530252457,0.07519927620887756,0.08153100311756134,0.0786198228597641,0.0648215115070343,0.0631895661354065,0.047399379312992096,0.06251382827758789,0.053745366632938385,0.06304894387722015,0.05809163302183151,0.05704843997955322,0.06788954138755798,0.07207006216049194,0.075331911444664,0.07982641458511353,0.07195265591144562,0.04043891280889511,0.02667265012860298,0.017137005925178528,0.01615902967751026,0.016895296052098274,0.014977416954934597,0.026802733540534973,0.027106396853923798,0.0036114633549004793,6.380793638527393e-05,1.3613607734441757e-06,2.653570845723152e-06,1.5434343367815018e-06,1.4773104339838028e-06,1.4088582247495651e-06,1.400010660290718e-06,1.4298129826784134e-06,1.4521647244691849e-06,1.405598595738411e-06,1.291278749704361e-06,1.4116521924734116e-06,1.583946868777275e-06,1.4402903616428375e-06,1.6386620700359344e-06,1.3310927897691727e-06,1.7622951418161392e-06,0.0,0.0,0.0
NaDyO2,8.866889402270317e-06,2.609100192785263e-06,3.4009572118520737e-06,1.2766104191541672e-06,1.5005934983491898e-06,1.6416888684034348e-06,1.4512334018945694e-06,1.5094410628080368e-06,1.3997778296470642e-06,1.427019014954567e-06,1.6815029084682465e-06,1.621665433049202e-06,1.7918646335601807e-06,1.7243437469005585e-06,6.2265899032354355e-06,0.001913601765409112,0.008073891513049603,0.03796178475022316,0.05652591958642006,0.08302712440490723,0.08692342787981033,0.08832275867462158,0.06918592751026154,0.06755156815052032,0.05311136692762375,0.06725099682807922,0.06393076479434967,0.0738658457994461,0.06532613933086395,0.05764973163604736,0.07911337912082672,0.0820910632610321,0.08660559356212616,0.08377998322248459,0.07452590763568878,0.050658825784921646,0.02756451815366745,0.016204576939344406,0.017585918307304382,0.018244996666908264,0.016098782420158386,0.03391508385539055,0.033603549003601074,0.003416996682062745,2.4763867259025574e-05,1.8298160284757614e-06,1.0584481060504913e-06,1.6784761101007462e-06,1.55717134475708e-06,1.5071127563714981e-06,1.5201512724161148e-06,1.4354009181261063e-06,1.4309771358966827e-06,1.4861579984426498e-06,1.3534445315599442e-06,1.453561708331108e-06,1.6314443200826645e-06,1.344829797744751e-06,1.5320256352424622e-06,1.3511162251234055e-06,1.4945399016141891e-06,0.0,4.594447091221809e-06,3.523426130414009e-06
NaTbO2,1.0550254955887794e-05,3.708992153406143e-07,3.0284281820058823e-06,1.7259735614061356e-06,1.4917459338903427e-06,1.5629921108484268e-06,1.3723038136959076e-06,1.461012288928032e-06,1.3869721442461014e-06,1.5029218047857285e-06,1.6475096344947815e-06,1.5802215784788132e-06,2.280576154589653e-06,1.5043187886476517e-06,4.279660061001778e-06,0.0016551034059375525,0.006517923437058926,0.034764889627695084,0.05182325839996338,0.0642959401011467,0.07183708250522614,0.07629130780696869,0.057488054037094116,0.05127188563346863,0.040233105421066284,0.06386593729257584,0.07377158850431442,0.07430568337440491,0.06691879034042358,0.04932926595211029,0.06544892489910126,0.06971736252307892,0.07739287614822388,0.07806496322154999,0.07152710855007172,0.04552331566810608,0.020090801641345024,0.008850726298987865,0.010491588152945042,0.013987739570438862,0.016402116045355797,0.023349497467279434,0.027752749621868134,0.0016145037952810526,0.0,3.2584648579359055e-06,2.839602530002594e-06,2.5974586606025696e-06,1.3906974345445633e-06,1.1208467185497284e-06,1.461012288928032e-06,3.454042598605156e-06,3.6298297345638275e-07,2.296408638358116e-06,1.330627128481865e-06,1.3159587979316711e-06,1.5792902559041977e-06,1.3208482414484024e-06,1.548556610941887e-06,1.416075974702835e-06,1.8454156816005707e-06,1.7439015209674835e-07,5.33577986061573e-06,7.565366104245186e-06
NaGdO2,9.897630661725998e-07,0.0,2.1441373974084854e-06,1.7052516341209412e-06,1.4747492969036102e-06,1.4132820069789886e-06,1.3695098459720612e-06,1.5397090464830399e-06,1.5362165868282318e-06,1.326901838183403e-06,1.3210810720920563e-06,1.3920944184064865e-06,9.925570338964462e-07,0.0003904851619154215,0.008087079040706158,0.016319558024406433,0.013208280317485332,0.014019015245139599,0.02583148330450058,0.030115358531475067,0.03654399514198303,0.037768784910440445,0.03324579447507858,0.03234296292066574,0.03552652895450592,0.03639105707406998,0.03759663552045822,0.026995830237865448,0.015567841939628124,0.015093895606696606,0.005514279007911682,0.0022103639785200357,0.0032048251014202833,0.0044818660244345665,0.00570098590105772,0.011881634593009949,0.00019771256484091282,0.00014505372382700443,0.00014181272126734257,3.698584623634815e-05,7.474166341125965e-05,0.0,0.0011084780562669039,0.0,0.0,3.263773396611214e-05,1.4657853171229362e-05,0.0,5.5686105042696e-06,0.0,0.0,3.945315256714821e-06,2.6028137654066086e-06,0.0,0.0,1.275213435292244e-06,1.4835968613624573e-06,1.5043187886476517e-06,1.303618773818016e-06,8.859205991029739e-07,1.8847640603780746e-06,1.205597072839737e-06,1.709209755063057e-06,1.5962868928909302e-06
NaEuO2,2.6917550712823868e-06,0.0,1.986278221011162e-06,1.57882459461689e-06,1.4284159988164902e-06,1.50362029671669e-06,1.3990793377161026e-06,1.5397090464830399e-06,1.616077497601509e-06,1.3997778296470642e-06,1.4195684343576431e-06,1.9292347133159637e-06,1.5210825949907303e-06,0.0007269084453582764,0.006630388088524342,0.012686734087765217,0.01292880903929472,0.01471810881048441,0.02906937524676323,0.03223825991153717,0.0380001962184906,0.04373036324977875,0.04172342270612717,0.041937023401260376,0.04192683845758438,0.04012259840965271,0.03632102161645889,0.02548902854323387,0.012788706459105015,0.009055676870048046,0.003234799252822995,0.00027356785722076893,0.00019318051636219025,0.0008040168322622776,0.001072900602594018,0.0032029564026743174,0.00012646126560866833,0.0010882755741477013,0.00013888743706047535,0.0,6.568408571183681e-05,0.0,6.200582720339298e-05,0.0,0.0,2.25752592086792e-06,7.649185135960579e-06,0.0,0.0,0.0,0.0,4.521338269114494e-06,4.046829417347908e-06,0.0,0.0,8.372589945793152e-07,9.262003004550934e-07,1.607229933142662e-06,1.1955853551626205e-06,1.0004732757806778e-06,1.723412424325943e-06,7.878290489315987e-06,7.650814950466156e-07,0.0
NaSmO2,2.5711487978696823e-06,1.250067725777626e-06,3.0656810849905014e-06,1.6454141587018967e-06,1.627020537853241e-06,1.7071142792701721e-06,1.4363322407007217e-06,1.576961949467659e-06,1.5045516192913055e-06,1.5499535948038101e-06,1.4994293451309204e-06,1.4977995306253433e-06,2.0635779947042465e-06,1.3771932572126389e-06,3.730878233909607e-06,0.002329379552975297,0.012049623765051365,0.04930386692285538,0.051547858864068985,0.0854596495628357,0.0722556859254837,0.0808081328868866,0.058595411479473114,0.054503001272678375,0.061960965394973755,0.0903521478176117,0.08717170357704163,0.08031114935874939,0.08046144992113113,0.06584544479846954,0.07558552920818329,0.08095255494117737,0.08514135330915451,0.07862241566181183,0.06353586912155151,0.03855821490287781,0.012871830724179745,0.010526037774980068,0.012791012413799763,0.0225888229906559,0.026250574737787247,0.03264189884066582,0.028580455109477043,0.0012902365997433662,3.480585291981697e-06,5.841720849275589e-07,1.6076955944299698e-06,1.6756821423768997e-06,1.527136191725731e-06,1.3404060155153275e-06,1.3951212167739868e-06,1.5825498849153519e-06,1.3739336282014847e-06,1.6416888684034348e-06,1.487554982304573e-06,1.2863893061876297e-06,1.4293473213911057e-06,1.375097781419754e-06,1.5327241271734238e-06,1.4121178537607193e-06,2.3120082914829254e-06,2.200249582529068e-07,1.1746305972337723e-06,1.6195699572563171e-06
