mp-13798,126,127,19,19,11,81,9,9,9,9,9,9
mp-13800,126,127,55,55,11,81,9,9,9,9,9,9
mp-13898,126,127,55,55,11,49,9,9,9,9,9,9
mp-13907,126,127,48,50,9,9,9,9,9,9
mp-13925,126,127,55,55,11,39,9,9,9,9,9,9
mp-13948,126,127,55,55,72,9,9,9,9,9,9
mp-13949,126,127,48,31,31,52,52,52,52
mp-13984,126,127,48,46,9,9,9,9,9,9
mp-13992,126,127,55,55,78,78,78,16,16,16,16
mp-14006,126,127,56,32,9,9,9,9,9,9
mp-14017,126,127,19,19,19,19,19,19,51,51
mp-14036,126,127,19,37,37,45,9,9,9,9,9,9
mp-14039,126,127,19,19,11,45,9,9,9,9,9,9
mp-14069,126,127,55,55,13,13,8,8,8,8
mp-14091,126,127,13,13,47,47,34,34,34,34
mp-14092,126,127,13,13,47,47,52,52,52,52
mp-14115,126,127,3,45,8,8
mp-14116,126,127,29,45,8,8
mp-1415,126,127,20,34
mp-14175,126,127,19,19,19,41,8,8,8,8,8,8,8,8
mp-14205,126,127,19,19,19,29,29,29,33,33
mp-14206,126,127,19,19,19,47,47,47,33,33
mp-14285,126,127,27,27,27,27,15,15,15,15,15,15,15,15
mp-14398,126,127,20,50,5,5,8,8,8,8,8,8
mp-14652,126,127,55,55,55,55,15,15,15,15,15,15
mp-1479,126,127,5,15
mp-1500,126,127,56,16
mp-15157,126,127,55,55,20,9,9,9,9
mp-1519,126,127,20,52
mp-1522,126,127,26,26,16,16,16,16
mp-15349,126,127,3,3,3,3,32,32,8,8,8,8,8,8
mp-1541,126,127,4,34
mp-1550,126,127,13,15
mp-15557,126,127,55,55,55,55,33,33,33,33,33,33
mp-15649,126,127,33,33,33,33,33,33,33,33,77,77,77,77
mp-15684,126,127,19,19,19,19,29,29,33,33
mp-1569,126,127,4,4,6
mp-15703,126,127,4,4,6,6,7,7,7,7
mp-15704,126,127,4,4,14,14,7,7,7,7
mp-15724,126,127,19,11,11,51
mp-15781,126,127,19,57,16,16
mp-15788,126,127,3,39,16,16
mp-15794,126,127,3,39,34,34
mp-15896,126,127,29,29,29,29,14,14,34,34,34,34,34,34
mp-1591,126,127,13,13,13,13,6,6,6
mp-15951,126,127,4,4,4,9,9,9,9,9,9
mp-15954,126,127,33,33,33,33,33,33,33,33,45,45,45,45
mp-15988,126,127,3,3,29,51
mp-15999,126,127,3,3,3,3,3,3,79,79,16,16,16,16
mp-160,126,127,5,5,5,5,5,5,5,5,5,5,5,5
mp-16236,126,127,19,19,47,47,34,34
mp-16264,126,127,3,3,3,3,20,20,20,20,51,51,51,51
mp-16337,126,127,31,31,80,52,52,52,52
mp-1639,126,127,5,7
mp-16577,126,127,3,3,20,72,9,9,9,9,9,9,9,9
mp-1672,126,127,20,16
mp-16742,126,127,56,56,47,47,52,52,9,9
mp-16763,126,127,19,39,52,52
mp-1700,126,127,13,7
mp-1747,126,127,19,19,52
mp-1778,126,127,4,8
mp-1784,126,127,55,9
mp-1794,126,127,4,8
mp-181,126,127,19,19,19,31,31,31,31,31,31,31,31,31
mp-1960,126,127,3,3,8
mp-1968,126,127,57,57,8,8,8
mp-19734,126,127,12,82,9,9,9,9,9,9
mp-19765,126,127,49,49,80,52,52,52,52
mp-19795,126,127,49,49,49,49,16,16,16,16
mp-19799,126,127,56,82,9,9,9,9,9,9
mp-19833,126,127,49,49,47,47,16,16,16,16
mp-19851,126,127,19,19,49,49,52,52,52,52
mp-20015,126,127,33,33,82,8,8,8,8,8,8
mp-20027,126,127,26,26,15,15,15,15
mp-20072,126,127,57,29,8,8
mp-2008,126,127,26,26,33,33,33,33
mp-20098,126,127,56,56,82,8,8,8,8
mp-20187,126,127,3,3,49,49,34,34,34,34
mp-20210,126,127,47,47,47,47,82,82,8,8,8,8
mp-20256,126,127,19,19,19,19,19,19,49,49,15,15,15,15
mp-20282,126,127,55,55,82,82,9,9,9,9,9,9
